date,pce,pop,psavert,uempmed,unemploy
1967-07-01,507.4,198712,12.5,4.5,2944
1967-08-01,510.5,198911,12.5,4.7,2945
1967-09-01,516.3,199113,11.7,4.6,2958
1967-10-01,512.9,199311,12.5,4.9,3143
1967-11-01,518.1,199498,12.5,4.7,3066
1967-12-01,525.8,199657,12.1,4.8,3018
1968-01-01,531.5,199808,11.7,5.1,2878
1968-02-01,534.2,199920,12.2,4.5,3001
1968-03-01,544.9,200056,11.6,4.1,2877
1968-04-01,544.6,200208,12.2,4.6,2709
1968-05-01,550.4,200361,12,4.4,2740
1968-06-01,556.8,200536,11.6,4.4,2938
1968-07-01,563.8,200706,10.6,4.5,2883
1968-08-01,567.6,200898,10.4,4.2,2768
1968-09-01,568.8,201095,10.4,4.6,2686
1968-10-01,572.3,201290,10.6,4.8,2689
1968-11-01,577.4,201466,10.4,4.4,2715
1968-12-01,577.2,201621,10.9,4.4,2685
1969-01-01,584.2,201760,10,4.4,2718
1969-02-01,589.5,201881,9.4,4.9,2692
1969-03-01,589.7,202023,9.9,4,2712
1969-04-01,594.7,202161,9.5,4,2758
1969-05-01,601.1,202331,10,4.2,2713
1969-06-01,601.7,202507,10.9,4.4,2816
1969-07-01,603.5,202677,11.7,4.4,2868
1969-08-01,610.8,202877,11.5,4.4,2856
1969-09-01,614.1,203090,11.5,4.7,3040
1969-10-01,619.4,203302,11.3,4.5,3049
1969-11-01,621.4,203500,11.5,4.8,2856
1969-12-01,623.7,203675,11.7,4.6,2884
1970-01-01,629.6,203849,11.7,4.6,3201
1970-02-01,634.9,204008,11.6,4.5,3453
1970-03-01,633.2,204156,12.3,4.6,3635
1970-04-01,637,204401,13.3,4.1,3797
1970-05-01,643.4,204607,12.3,4.7,3919
1970-06-01,647.2,204830,11.7,4.9,4071
1970-07-01,649.5,205052,13.2,5.1,4175
1970-08-01,653.9,205295,13.1,5.4,4256
1970-09-01,660.1,205540,12.9,5.2,4456
1970-10-01,659.3,205788,13,5.2,4591
1970-11-01,657.6,206024,13.3,5.6,4898
1970-12-01,666.6,206238,12.9,5.9,5076
1971-01-01,677.2,206466,13.1,6.2,4986
1971-02-01,680.4,206668,13.1,6.3,4903
1971-03-01,683,206855,13.3,6.4,4987
1971-04-01,689.8,207065,13,6.5,4959
1971-05-01,692.2,207260,13.4,6.7,4996
1971-06-01,700.8,207462,14.4,5.7,4949
1971-07-01,699.9,207661,13.6,6.2,5035
1971-08-01,706,207881,13.6,6.4,5134
1971-09-01,714.1,208114,12.9,5.8,5042
1971-10-01,716.9,208345,13,6.5,4954
1971-11-01,722.1,208555,12.8,6.4,5161
1971-12-01,729.6,208740,12.9,6.2,5154
1972-01-01,732.6,208917,12.4,6.2,5019
1972-02-01,737.3,209061,12.6,6.6,4928
1972-03-01,750.4,209212,11.5,6.6,5038
1972-04-01,753.8,209386,11.3,6.7,4959
1972-05-01,759.2,209545,11.5,6.6,4922
1972-06-01,762.9,209725,11.4,5.4,4923
1972-07-01,771.2,209896,11.4,6.1,4913
1972-08-01,777.7,210075,11.8,6,4939
1972-09-01,782.5,210278,12,5.6,4849
1972-10-01,796.3,210479,12.7,5.7,4875
1972-11-01,801.8,210656,13.4,5.7,4602
1972-12-01,807.5,210821,13.4,6.1,4543
1973-01-01,817.9,210985,12.1,5.7,4326
1973-02-01,827.2,211120,12.2,5.2,4452
1973-03-01,834.2,211254,12.4,5.5,4394
1973-04-01,837.2,211420,12.8,5,4459
1973-05-01,843.1,211577,12.8,4.9,4329
1973-06-01,845.8,211746,13.2,5,4363
1973-07-01,855.7,211909,12.8,5.2,4305
1973-08-01,854.9,212092,13.6,4.9,4305
1973-09-01,870.9,212289,12.8,5.4,4350
1973-10-01,869.8,212475,14,5.5,4144
1973-11-01,878.6,212634,14,5.1,4396
1973-12-01,878.4,212785,14.4,4.7,4489
1974-01-01,886.4,212932,14,5,4644
1974-02-01,891.6,213074,13.8,5.1,4731
1974-03-01,903.3,213211,13,4.8,4634
1974-04-01,912.7,213361,12.7,5,4618
1974-05-01,924.3,213513,12.3,4.6,4705
1974-06-01,929.9,213686,12.5,5.3,4927
1974-07-01,939.8,213854,12.7,5.7,5063
1974-08-01,956.6,214042,11.6,5,5022
1974-09-01,956.8,214246,12.3,5.3,5437
1974-10-01,961,214451,13,5.5,5523
1974-11-01,958,214625,13.4,5.2,6140
1974-12-01,963.6,214782,13.6,5.7,6636
1975-01-01,977.4,214931,12.8,6.3,7501
1975-02-01,991.3,215065,12.1,7.1,7520
1975-03-01,992.6,215198,12.3,7.2,7978
1975-04-01,997.2,215353,13.9,8.7,8210
1975-05-01,1021.2,215523,17,9.4,8433
1975-06-01,1029.1,215768,13.9,8.8,8220
1975-07-01,1042.2,215973,12.3,8.6,8127
1975-08-01,1049.4,216195,12.6,9.2,7928
1975-09-01,1057.2,216393,12.6,9.2,7923
1975-10-01,1063.2,216587,13,8.6,7897
1975-11-01,1078,216771,12.3,9.5,7794
1975-12-01,1094.4,216931,11.5,9,7744
1976-01-01,1109.5,217095,11.3,9,7534
1976-02-01,1110.1,217249,11.9,8.2,7326
1976-03-01,1117.3,217381,11.8,8.7,7230
1976-04-01,1127.8,217528,11.2,8.2,7330
1976-05-01,1125.1,217685,11.8,8.3,7053
1976-06-01,1142.9,217861,10.9,7.8,7322
1976-07-01,1152.1,218035,11.2,7.7,7490
1976-08-01,1160.5,218233,11.2,7.9,7518
1976-09-01,1171.4,218440,10.8,7.8,7380
1976-10-01,1179.5,218644,10.6,7.7,7430
1976-11-01,1191.7,218834,10.9,8.4,7620
1976-12-01,1214.1,219006,9.9,8,7545
1977-01-01,1217.4,219179,9.8,7.5,7280
1977-02-01,1233.7,219344,8.5,7.2,7443
1977-03-01,1240.7,219504,9.8,7.2,7307
1977-04-01,1249.7,219684,9.9,7.3,7059
1977-05-01,1259.6,219859,9.8,7.9,6911
1977-06-01,1266.3,220046,10.2,6.2,7134
1977-07-01,1283.2,220239,10.1,7.1,6829
1977-08-01,1288.5,220458,10.5,7,6925
1977-09-01,1297.4,220688,10.7,6.7,6751
1977-10-01,1314.3,220904,10.7,6.9,6763
1977-11-01,1330,221109,10.8,7,6815
1977-12-01,1339.3,221303,11,6.8,6386
1978-01-01,1333,221477,11.4,6.5,6489
1978-02-01,1358.9,221629,10.7,6.7,6318
1978-03-01,1381.4,221792,10.5,6.2,6337
1978-04-01,1400.2,221991,10.3,6.1,6180
1978-05-01,1415.9,222176,9.8,5.7,6127
1978-06-01,1429.8,222379,9.5,6,6028
1978-07-01,1430.8,222585,10.3,5.8,6309
1978-08-01,1451,222805,9.9,5.8,6080
1978-09-01,1456.9,223053,10,5.6,6125
1978-10-01,1471,223271,10.2,5.9,5947
1978-11-01,1484.7,223477,10,5.5,6077
1978-12-01,1500.5,223670,10,5.6,6228
1979-01-01,1506.3,223865,10.6,5.9,6109
1979-02-01,1521.6,224053,10.5,5.9,6173
1979-03-01,1535,224235,10.7,5.9,6109
1979-04-01,1542.3,224438,10.4,5.4,6069
1979-05-01,1562.7,224632,9.8,5.6,5840
1979-06-01,1579.6,224843,9.3,5.6,5959
1979-07-01,1590.1,225055,10,5.9,5996
1979-08-01,1619.7,225295,9.2,4.8,6320
1979-09-01,1638.1,225547,8.9,5.5,6190
1979-10-01,1646,225801,9.3,5.5,6296
1979-11-01,1661.7,226027,9.4,5.3,6238
1979-12-01,1670.7,226243,9.8,5.7,6325
1980-01-01,1701.6,226451,9.6,5.3,6683
1980-02-01,1705.6,226656,9.8,5.8,6702
1980-03-01,1712.4,226849,9.8,6,6729
1980-04-01,1699.5,227061,10.5,5.8,7358
1980-05-01,1704.3,227251,10.6,5.7,7984
1980-06-01,1723,227522,10.4,6.4,8098
1980-07-01,1751.2,227726,10.5,7,8363
1980-08-01,1767.7,227953,10.6,7.5,8281
1980-09-01,1784.1,228186,11.1,7.7,8021
1980-10-01,1820.4,228417,11,7.5,8088
1980-11-01,1830.2,228612,11.5,7.7,8023
1980-12-01,1855.5,228779,11.2,7.5,7718
1981-01-01,1874.7,228937,10.5,7.4,8071
1981-02-01,1889.4,229071,10.4,7.1,8051
1981-03-01,1908.1,229224,10.3,7.1,7982
1981-04-01,1909.1,229403,10.3,7.4,7869
1981-05-01,1918.2,229575,10.4,6.9,8174
1981-06-01,1938.5,229761,10.2,6.6,8098
1981-07-01,1945.7,229966,11.7,7.1,7863
1981-08-01,1969.8,230187,11.4,7.2,8036
1981-09-01,1968.2,230412,11.9,6.8,8230
1981-10-01,1966.2,230641,12.5,6.8,8646
1981-11-01,1972.4,230822,12.7,6.9,9029
1981-12-01,1989.9,230989,12,6.9,9267
1982-01-01,1997.4,231157,12.2,7.1,9397
1982-02-01,2021.4,231313,11.6,7.5,9705
1982-03-01,2024.4,231470,11.7,7.7,9895
1982-04-01,2027.2,231645,12.4,8.1,10244
1982-05-01,2045.9,231809,11.7,8.5,10335
1982-06-01,2050.2,231992,11.6,9.5,10538
1982-07-01,2075.1,232188,12,8.5,10849
1982-08-01,2083.7,232392,11.9,8.7,10881
1982-09-01,2108.9,232599,11.1,9.5,11217
1982-10-01,2130.7,232816,10.7,9.7,11529
1982-11-01,2154.7,232993,10.3,10,11938
1982-12-01,2167.4,233160,10.3,10.2,12051
1983-01-01,2180.1,233322,10.4,11.1,11534
1983-02-01,2183.1,233473,10.5,9.8,11545
1983-03-01,2208.6,233613,10,10.4,11408
1983-04-01,2231.8,233781,9.6,10.9,11268
1983-05-01,2251,233922,9.4,12.3,11154
1983-06-01,2280.8,234118,8.5,11.3,11246
1983-07-01,2309,234307,9,10.1,10548
1983-08-01,2324.8,234501,8.7,9.3,10623
1983-09-01,2339.1,234701,9,9.3,10282
1983-10-01,2361.8,234907,9.1,9.4,9887
1983-11-01,2370.4,235078,9.7,9.3,9499
1983-12-01,2397.9,235235,9.5,8.7,9331
1984-01-01,2423.8,235385,9.4,9.1,9008
1984-02-01,2408.1,235527,11.1,8.3,8791
1984-03-01,2436.4,235675,10.9,8.3,8746
1984-04-01,2462.6,235839,10.9,8.2,8762
1984-05-01,2479.8,235993,10.5,9.1,8456
1984-06-01,2501.2,236160,10.5,7.5,8226
1984-07-01,2500.5,236348,11,7.5,8537
1984-08-01,2518.4,236549,11.2,7.3,8519
1984-09-01,2540.3,236760,11.2,7.6,8367
1984-10-01,2538.2,236976,11.2,7.2,8381
1984-11-01,2578.6,237159,10.3,7.2,8198
1984-12-01,2590,237316,10.6,7.3,8358
1985-01-01,2626.3,237468,9.7,6.8,8423
1985-02-01,2648.6,237602,8.5,7.1,8321
1985-03-01,2656.8,237732,8.1,7.1,8339
1985-04-01,2668.4,237900,9.4,6.9,8395
1985-05-01,2705.9,238074,10.5,6.9,8302
1985-06-01,2699.3,238270,9,6.6,8460
1985-07-01,2725.9,238466,8.5,6.9,8513
1985-08-01,2762.7,238679,7.5,7.1,8196
1985-09-01,2805.6,238898,6.7,6.9,8248
1985-10-01,2767.1,239113,8.5,7.1,8298
1985-11-01,2782.7,239307,8.4,7,8128
